 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
062400    4.7640   52.3090   -3.4000  49549 34
014033    3.2500   56.5500   48.8000  43732 27
013755    2.0330   61.0330   10.0000  46283 34
606800    5.4330   22.8000 1364.0000  48711 34
606110    9.6430   28.0520  563.0000  48025 34
607600    8.1110   33.9400   87.5000  48425 34
604190    6.6200   36.2760  690.4000  49160 34
076500    5.2140   43.4360   22.6000  49465 34
067000    6.1090   46.2380  430.1000  49517 34
063800    5.7700   50.9120  114.3000  49532 34
014150    5.6380   58.8770    8.8000  49390 34
013110    5.2180   60.2930   51.8000  49214 34
610960   11.9830   13.2330  338.0000  42390 30
607690   10.7750   33.8750    5.8000  49291 34
607150   10.2270   36.8510    6.7000  49258 34
161580   10.3930   43.6840    1.8000  49224 34
111500   13.0040   47.7930  430.1000  49404 34
115180   14.2600   50.1010  380.1000  49554 34
061800   12.6560   55.6180    5.2000  49413 34
013840   11.1000   60.1940  207.6000  49512 34
011520   14.3650   67.2690   12.8000  49420 34
688160   18.6020  -33.9650   46.0000  49193 34
685120   17.9400  -29.6890  819.9000  48316 34
166410   19.9120   39.6020    1.8000  49340 34
163200   17.9470   40.6580   14.3000  48984 34
118160   17.2130   48.1700  132.9000  49524 34
123300   16.8260   52.4210   93.9000  49478 34
026640   15.2650   56.2670   58.2000  49238 34
023660   17.4440   62.5280    4.9000  49335 34
010100   16.1440   69.2930   13.1000  49414 34
010280   19.0170   74.5170   18.0000  45868 32
010080   15.4660   78.2460   26.8000  48862 34
684240   21.2600  -28.3990  850.7000  48645 34
620530   20.2690   32.0970  132.0000  37849 21
166820   21.2930   37.9210   16.8000  49286 34
132720   20.3090   44.8180  102.1000  48978 34
152000   21.2620   46.1770  107.3000  49445 34
123750   20.9670   52.1660  110.3000  49554 34
264220   23.9670   56.9170   26.0000  49257 34
029740   24.9630   60.3170   54.6000  49538 34
021860   22.1220   65.5440   19.8000  49225 34
010550   23.9830   71.1000   14.2000  46028 32
688420   25.6170  -33.9850   68.9000  48772 34
684420   26.3020  -29.0930 1358.8000  48526 34
623060   27.2220   31.3250   28.7000  48669 34
167490   28.0860   36.4050    5.8000  49414 34
154200   26.1020   44.5030   90.5000  49531 34
151500   26.9100   46.5220  185.0000  49049 34
267300   25.2860   54.6340  196.9000  49349 34
260590   28.6000   59.3670   19.0000  48895 34
029350   25.6780   62.3990  139.9000  48708 34
028360   26.6190   67.3950  183.5000  48770 34
010780   28.2330   71.1000   10.0000  45770 32
010620   25.0670   76.5000   10.0000  47170 32
685880   30.9510  -29.9700   10.1000  46123 31
679750   30.8590  -20.0550 1095.8000  32398 18
677750   31.0940  -17.9300 1489.6000  40313 18
637080   34.7290   -0.0860 1208.5000  44864 34
636610   34.9590    0.9720 1850.1000  42825 17
624050   32.7070   25.6710   89.6000  48753 34
176090   33.6250   34.8750    2.4000  49535 34
173000   30.8000   36.8990   53.9000  49430 34
339460   34.1330   44.6830  181.0000  48919 34
338370   30.6760   46.4270   52.4000  48861 34
330410   31.0170   52.5270  143.9000  49156 34
260630   30.2630   59.8000   24.1000  49117 34
228200   34.2670   61.8170  110.0000  48984 34
221130   32.7510   68.7820   81.1000  48911 34
010980   31.1000   70.3670   15.0000  44110 31
689940   37.8600  -46.8750   22.0000  45464 34
637400   36.9280   -1.3190 1623.7000  46833 34
636950   37.6500    0.0830 1554.0000  43017 34
410240   39.1570   21.6800   14.6000  49278 34
403750   36.6190   28.3650  777.5000  49191 34
403560   38.7310   31.6930  854.4000  48557 34
173500   35.4260   37.0020   72.5000  49308 34
170820   35.5220   40.8290  535.8000  47653 34
349290   39.1500   45.0330   34.0000  48395 34
340090   36.1670   51.7670  247.0000  48832 34
275185   37.2610   55.5920  208.8000  48955 34
228450   38.9330   61.5000  126.0000  48728 34
222350   37.0500   67.3500  156.0000  48934 34
411140   42.8040   18.2970 2065.8999  48873 34
410360   40.5440   21.4830 1477.7000  48536 34
403940   41.6860   27.4380 1015.3000  49060 34
171700   43.3320   38.4680 1670.3000  49073 34
370540   43.0820   44.2250  321.3000  48783 34
345600   44.3460   48.7830  146.9000  48917 34
279470   41.3330   52.8000  128.0000  48669 34
276650   44.5000   55.0330  219.0000  48539 34
225500   40.7170   64.6000   18.9000  47902 33
222710   44.1500   67.8830   18.0000  46067 34
670830   47.4790  -18.7970 1279.6000  46287 34
404370   46.6990   24.9580  624.5000  49120 34
407660   47.1580   34.3460 1305.8000  46645 34
407060   46.2350   38.1340 1359.1000  47431 34
374720   47.5000   43.0000  -18.6000  41061 25
348800   47.9830   46.2830  -21.6000  48728 34
276790   46.5830   54.8170  180.0000  46694 34
271960   49.6170   58.6500  147.0000  48764 34
228870   46.7170   61.2330   56.0000  48523 34
413160   54.0910   17.0390   22.3000  48114 34
412170   54.6510   24.4330   26.8000  49042 34
411500   50.6340   26.2710    1.8000  49064 34
408210   54.2770   31.9050 1235.7000  44593 34
407540   51.3130   35.6890 1207.6000  48164 34
385070   52.9830   40.0330   90.0000  48380 34
351080   51.5430   51.1510   38.1000  48633 34
284110   53.4500   56.8330  159.0000  48075 34
238040   50.8450   61.6470   98.8000  48569 34
234050   52.2670   65.4330   68.0000  48258 34
207440   52.7000   72.3670   19.0000  47740 34
619900   57.6840  -20.4300   56.7000  48204 34
619860   59.6170  -16.4500    4.0000  44797 33
619740   56.6000  -10.4330    4.0000  45510 22
639800   55.5220   -4.6740    3.0000  45708 34
412460   56.6500   24.4670    2.0000  47390 34
411940   55.3640   25.2550   10.4000  49137 34
408090   59.2660   32.8980 1509.4000  46398 34
388800   58.3610   37.9870  210.9000  48670 34
383920   59.8170   41.7500   82.0000  48240 34
359250   56.1170   45.4000   88.0000  47871 34
351210   55.4570   51.7960  118.0000  48988 34
286210   55.5330   55.4170  186.0000  45925 26
239140   56.5170   60.4000  207.0000  45435 32
234180   57.1330   65.1330   53.2000  48625 34
619880   63.3610  -19.7580   29.0000  46828 23
408560   60.9070   29.4760 1377.7000  46551 34
386870   63.6000   39.0830  190.0000  48470 34
384030   62.4670   41.7500   98.0000  48092 34
